time,height,v_z,pitch,power_kw,fuel_kg,weight_kg
1.0,0.0,0.0,8.718365172573138,356.5858389867886,322.29727496174894,2246.727876335796
2.0,0.0,0.0,8.718208298180205,356.5761429602131,322.2448780785195,2246.6754794525664
3.0,0.0,0.0,8.718051427514558,356.5664473264214,322.19248262000957,2246.6230839940563
4.0,0.0,0.0,8.717894560577706,356.55675208549644,322.1400885861614,2246.5706899602083
5.0,0.0,0.0,8.717737697368966,356.5470572374979,322.08769597691736,2246.518297350964
6.0,0.0,0.0,8.717580837887763,356.5373627821521,322.0353047922197,2246.4659061662664
7.0,0.0,0.0,8.717423982135204,356.52766871974404,321.98291503201057,2246.413516406057
8.0,0.0,0.0,8.717267130108945,356.5179750500028,321.93052669623233,2246.3611280702794
9.0,0.0,0.0,8.71711028181118,356.50828177305414,321.8781397848274,2246.308741158874
10.0,0.0,0.0,8.716953437239809,356.49858888875605,321.8257542977379,2246.2563556717846
11.0,0.0,0.0,8.716796596396232,356.4888963971849,321.7733702349062,2246.203971608953
12.0,0.0,0.0,8.716639759278653,356.47920429821755,321.72098759627465,2246.1515889703214
13.0,0.0,0.0,8.716482925889098,356.46951259208254,321.6686063817854,2246.099207755832
14.0,0.0,0.0,8.716326096225766,356.45982127842984,321.6162265913809,2246.0468279654274
15.0,0.0,0.0,8.716169270288539,356.4501303574679,321.56384822500337,2245.9944495990503
16.0,0.0,0.0,8.716012448077947,356.4404398291053,321.51147128259515,2245.942072656642
17.0,0.0,0.0,8.715855629593184,356.43074969316706,321.45909576409855,2245.889697138145
18.0,0.0,0.0,8.715698814835015,356.421059949917,321.4067216694559,2245.8373230435022
19.0,0.0,0.0,8.715542003803037,356.411370599205,321.3543489986095,2245.784950372656
20.0,0.0,0.0,8.715385196496864,356.4016816411098,321.3019777515017,2245.732579125548
21.0,0.0,0.0,8.715228392915032,356.39199307530225,321.2496079280748,2245.680209302121
22.0,0.0,0.0,8.715071593059845,356.38230490214147,321.1972395282711,2245.6278409023175
23.0,0.0,0.0,8.71491479693011,356.3726171213155,321.144872552033,2245.575473926079
24.0,0.0,0.0,8.714758004525686,356.362929733031,321.0925069993028,2245.523108373349
25.0,0.0,0.0,8.714601215845509,356.35324273709733,321.0401428700228,2245.470744244069
26.0,0.0,0.0,8.714444430891312,356.3435561336115,320.9877801641354,2245.4183815381816
27.0,0.0,0.0,8.714287649661046,356.33386992243487,320.9354188815829,2245.3660202556293
28.0,0.0,0.0,8.71413087215553,356.3241841037205,320.8830590223077,2245.313660396354
29.0,0.0,0.0,8.713974098374615,356.3144986772214,320.8307005862521,2245.261301960298
30.0,0.0,0.0,8.713817328317742,356.3048136430051,320.7783435733585,2245.2089449474042
31.0,0.0,0.0,8.713660561986,356.2951290012419,320.7259879835691,2245.156589357615
32.0,0.0,0.0,8.71350379937762,356.28544475169684,320.67363381682645,2245.1042351908723
33.0,0.0,0.0,8.713347040492081,356.2757608943266,320.6212810730728,2245.0518824471187
34.0,0.0,0.0,8.713190285331594,356.26607742925796,320.5689297522506,2244.9995311262965
35.0,0.0,0.0,8.71303353389462,356.25639435638385,320.5165798543021,2244.9471812283477
36.0,0.0,0.0,8.712876786180846,356.246711675787,320.46423137916975,2244.8948327532157
37.0,0.0,0.0,8.712720042190096,356.23702938721885,320.41188432679587,2244.8424857008417
38.0,0.0,0.0,8.712563301923453,356.22734749096236,320.3595386971229,2244.7901400711685
39.0,0.0,0.0,8.712406565378545,356.2176659867456,320.3071944900932,2244.7377958641387
40.0,0.0,0.0,8.712249832557212,356.20798487467187,320.2548517056491,2244.6854530796945
41.0,0.0,0.0,8.712093103458558,356.1983041546745,320.202510343733,2244.633111717779
42.0,0.0,0.0,8.71193637808221,356.188623826719,320.1501704042874,2244.580771778333
43.0,0.0,0.0,8.711779656429004,356.1789438908465,320.09783188725453,2244.5284332613
44.0,0.0,0.0,8.711622938496628,356.16926434690214,320.0454947925769,2244.476096166622
45.0,0.0,0.0,8.711466224287902,356.15958519516363,319.9931591201968,2244.423760494242
46.0,0.0,0.0,8.71130951379992,356.1499064353257,319.94082487005676,2244.371426244102
47.0,0.0,0.0,8.711152807034887,356.1402280675145,319.8884920420991,2244.3190934161444
48.0,0.0,0.0,8.710996103991281,356.1305500916241,319.8361606362662,2244.2667620103116
49.0,0.0,0.0,8.710839404669198,356.1208725076498,319.78383065250046,2244.214432026546
50.0,0.0,0.0,8.710682709068228,356.1111953155548,319.7315020907444,2244.1621034647897
51.0,0.0,0.0,8.710526017187675,356.10151851539797,319.6791749509403,2244.1097763249854
52.0,0.0,0.0,8.710369329029314,356.09184210716563,319.62684923303067,2244.0574506070757
53.0,0.0,0.0,8.710212644592088,356.0821660906675,319.5745249369579,2244.0051263110026
54.0,0.0,0.0,8.710055963874822,356.0724904660459,319.5222020626644,2243.9528034367095
55.0,0.0,0.0,8.709899286879331,356.0628152332897,319.4698806100926,2243.900481984138
56.0,0.0,0.0,8.709742613603511,356.05314039237015,319.41756057918496,2243.84816195323
57.0,0.0,0.0,8.709585944047825,356.0434659430782,319.3652419698839,2243.7958433439294
58.0,0.0,0.0,8.7094292782129,356.0337918856686,319.3129247821318,2243.7435261561773
59.0,0.0,0.0,8.709272616097632,356.0241182199484,319.2606090158711,2243.6912103899167
60.0,0.0,0.0,8.709115957702977,356.0144449458525,319.20829467104437,2243.63889604509
61.0,0.0,0.0,8.70895930302692,356.00477206347125,319.15598174759396,2243.5865831216393
62.0,0.0,0.0,8.708802652071428,355.99509957291605,319.1036702454623,2243.5342716195073
